movie_id,image_url,movie_title,year_released
scream-2022,film-poster/5/7/2/1/1/9/572119-scream-0-230-0-345-crop,Scream,2022
companion-2025,film-poster/9/7/7/1/7/2/977172-companion-2025-0-230-0-345-crop,Companion,2025
anora,film-poster/9/5/9/5/4/0/959540-anora-0-230-0-345-crop,Anora,2024
carry-on-2024,film-poster/9/0/5/8/7/6/905876-carry-on-2024-0-230-0-345-crop,Carry-On,2024
babygirl-2024,film-poster/9/8/9/1/2/5/989125-babygirl-2024-0-230-0-345-crop,Babygirl,2024
how-the-grinch-stole-christmas-2000,film-poster/4/7/5/5/3/47553-the-grinch-0-230-0-345-crop,How the Grinch Stole Christmas,2000
the-wild-robot,film-poster/1/0/7/1/1/9/6/1071196-the-wild-robot-0-230-0-345-crop,The Wild Robot,2024
gladiator-ii,film-poster/4/8/6/9/7/8/486978-gladiator-ii-0-230-0-345-crop,Gladiator II,2024
speak-no-evil-2024,film-poster/1/0/0/4/5/3/1/1004531-speak-no-evil-0-230-0-345-crop,Speak No Evil,2024
nocturnal-animals,sm/upload/nu/i0/7z/nd/oHL437Dz1TGQMlKfpE6rSQJgMxb-0-230-0-345-crop,Nocturnal Animals,2016
the-substance,film-poster/8/3/8/1/4/0/838140-the-substance-0-230-0-345-crop,The Substance,2024
the-descent,film-poster/4/7/2/0/4/47204-the-descent-0-230-0-345-crop,The Descent,2005
trap-2024,film-poster/9/3/1/1/6/4/931164-trap-0-230-0-345-crop,Trap,2024
watcher,film-poster/7/2/4/2/8/9/724289-watcher-0-230-0-345-crop,Watcher,2022
portrait-of-a-lady-on-fire,film-poster/4/6/0/8/3/0/460830-portrait-of-a-lady-on-fire-0-230-0-345-crop,Portrait of a Lady on Fire,2019
twisters,film-poster/6/4/1/6/0/8/641608-twisters-0-230-0-345-crop,Twisters,2024
the-proposal-2009,film-poster/4/0/4/7/9/40479-the-proposal-0-230-0-345-crop,The Proposal,2009
alien-romulus,film-poster/8/5/0/4/5/9/850459-alien-romulus-0-230-0-345-crop,Alien: Romulus,2024
love-lies-bleeding-2024,film-poster/8/5/3/0/1/1/853011-love-lies-bleeding-0-230-0-345-crop,Love Lies Bleeding,2024
x-2022,film-poster/6/8/0/3/5/8/680358-x-0-230-0-345-crop,X,2022
a-quiet-place-day-one,film-poster/6/8/2/5/3/5/682535-a-quiet-place-day-one-0-230-0-345-crop,A Quiet Place: Day One,2024
inside-out-2-2024,film-poster/9/2/1/5/7/8/921578-inside-out-2-0-230-0-345-crop,Inside Out 2,2024
spirited-away,film-poster/5/1/9/2/1/51921-spirited-away-0-230-0-345-crop,Spirited Away,2001
old-2021,film-poster/5/5/8/0/5/4/558054-old-0-230-0-345-crop,Old,2021
carol-2015,film-poster/1/8/2/1/4/2/182142-carol-0-230-0-345-crop,Carol,2015
superbad,film-poster/4/7/7/7/6/47776-superbad-0-230-0-345-crop,Superbad,2007
but-im-a-cheerleader,film-poster/3/8/8/0/0/38800-but-i-m-a-cheerleader-0-230-0-345-crop,But I'm a Cheerleader,1999
the-idea-of-you-2024,film-poster/7/5/8/3/9/7/758397-the-idea-of-you-0-230-0-345-crop,The Idea of You,2024
anyone-but-you,film-poster/9/6/6/9/9/0/966990-anyone-but-you-0-230-0-345-crop,Anyone But You,2023
the-handmaiden,sm/upload/pc/n6/pz/mi/wvzfK5QR6dGLwND8MCzWjsQWG4Q-0-230-0-345-crop,The Handmaiden,2016
drive-2011,sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN,Drive,2011
midsommar,film-poster/4/5/9/5/6/4/459564-midsommar-0-230-0-345-crop,Midsommar,2019
bodies-bodies-bodies,film-poster/4/4/9/4/4/2/449442-bodies-bodies-bodies-0-230-0-345-crop,Bodies Bodies Bodies,2022
anatomy-of-a-fall,film-poster/8/2/2/0/9/3/822093-anatomy-of-a-fall-0-230-0-345-crop,Anatomy of a Fall,2023
dune-part-two,film-poster/6/1/7/4/4/3/617443-dune-part-two-0-230-0-345-crop,Dune: Part Two,2024
palm-springs-2020,film-poster/5/1/5/4/6/7/515467-palm-springs-0-230-0-345-crop,Palm Springs,2020
mean-girls-2024,film-poster/5/9/8/2/7/4/598274-mean-girls-0-230-0-345-crop,Mean Girls,2024
leave-the-world-behind-2023,film-poster/6/4/8/8/6/9/648869-leave-the-world-behind-0-230-0-345-crop,Leave the World Behind,2023
wonka,film-poster/7/0/6/0/8/3/706083-wonka-0-230-0-345-crop,Wonka,2023
the-hunger-games-the-ballad-of-songbirds-snakes,film-poster/6/1/9/5/1/0/619510-the-hunger-games-the-ballad-of-songbirds-snakes-0-230-0-345-crop,The Hunger Games: The Ballad of Songbirds & Snakes,2023
the-menu-2022,film-poster/5/2/1/3/2/3/521323-the-menu-0-230-0-345-crop,The Menu,2022
oppenheimer-2023,film-poster/7/8/4/3/2/8/784328-oppenheimer-0-230-0-345-crop,Oppenheimer,2023
bottoms,film-poster/7/3/1/2/2/2/731222-bottoms-0-230-0-345-crop,Bottoms,2023
thor-ragnarok,film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-230-0-345-crop,Thor: Ragnarok,2017
blade-runner-2049,film-poster/2/6/5/4/3/9/265439-blade-runner-2049-0-230-0-345-crop,Blade Runner 2049,2017
coraline,film-poster/4/2/7/7/9/42779-coraline-0-230-0-345-crop,Coraline,2009
mulan,sm/upload/yz/dm/zk/5z/5vG3XyQNxOkl2Qd7D8MzMoY6sm2-0-230-0-345-crop,Mulan,1998
barbie,film-poster/2/7/7/0/6/4/277064-barbie-0-230-0-345-crop,Barbie,2023
king-richard,film-poster/5/4/1/9/9/8/541998-king-richard-0-230-0-345-crop,King Richard,2021
interstellar,film-poster/1/1/7/6/2/1/117621-interstellar-0-230-0-345-crop,Interstellar,2014
no-hard-feelings-2023,film-poster/7/9/5/8/9/7/795897-no-hard-feelings-0-230-0-345-crop,No Hard Feelings,2023
guardians-of-the-galaxy-vol-3,film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-230-0-345-crop,Guardians of the Galaxy Vol. 3,2023
i-care-a-lot,film-poster/5/2/9/2/0/3/529203-i-care-a-lot-0-230-0-345-crop,I Care a Lot,2020
fear-street-1994,film-poster/5/1/8/7/8/7/518787-fear-street-part-one-1994-0-230-0-345-crop,Fear Street: 1994,2021
the-hunger-games-mockingjay-part-2,sm/upload/tq/6c/uw/7r/nN4cEJMHJHbJBsp3vvvhtNWLGqg-0-230-0-345-crop,The Hunger Games: Mockingjay – Part 2,2015
the-platform,film-poster/5/4/5/9/8/5/545985-the-platform-0-230-0-345-crop,The Platform,2019
pitch-perfect,sm/upload/yw/kc/ma/m9/cLUMPdwCV0Dxd3P1ZkCXe7bVImI-0-230-0-345-crop,Pitch Perfect,2012
do-revenge,film-poster/6/8/3/1/9/4/683194-do-revenge-0-230-0-345-crop,Do Revenge,2022
