movie_id,count
donnie-darko,36
eyes-wide-shut,33
the-twilight-saga-new-moon,26
shutter-island,35
21-jump-street,20
the-texas-chain-saw-massacre,31
the-hunger-games-mockingjay-part-2,24
the-twilight-saga-eclipse,24
promising-young-woman,27
enemy,30
babylon-2022,37
smile-2-2024,41
the-dark-knight-rises,29
doctor-strange-2016,29
eternal-sunshine-of-the-spotless-mind,43
all-of-us-strangers,29
the-great-gatsby-2013,24
the-lobster,32
punch-drunk-love,29
oceans-eleven-2001,25
mad-max-fury-road,35
leave-the-world-behind-2023,27
the-wonderful-story-of-henry-sugar,23
the-lego-movie,25
howls-moving-castle,28
the-shining,33
fantastic-mr-fox,29
candyman-2021,23
dream-scenario,27
the-invisible-man-2020,30
talk-to-me-2022,44
saturday-night-2024,28
ratatouille,22
back-to-the-future,24
top-gun,23
last-night-in-soho,34
birdman-or-the-unexpected-virtue-of-ignorance,28
guardians-of-the-galaxy,35
the-little-mermaid-2023,26
the-mitchells-vs-the-machines,21
kill-bill-vol-1,33
renfield,27
crazy-stupid-love,30
the-babadook,21
inside-llewyn-davis,20
the-witch-2015,35
carol-2015,28
boogie-nights,31
the-amazing-spider-man,27
teenage-mutant-ninja-turtles-mutant-mayhem,24
it-chapter-two,36
train-to-busan,23
black-swan,38
booksmart,29
the-girl-with-the-dragon-tattoo-2011,20
monkey-man,35
home-alone-2-lost-in-new-york,25
trap-2024,44
madame-web,31
poison-2023,21
terrifier-3,25
wallace-gromit-vengeance-most-fowl,23
there-will-be-blood,28
coco-2017,25
rocketman-2019,21
sicario-2015,22
phantom-thread,28
the-edge-of-seventeen,25
the-social-network,38
jurassic-park,29
the-wolf-of-wall-street,38
upgrade,20
trick-r-treat,27
mission-impossible-dead-reckoning,35
the-godfather,34
spider-man-across-the-spider-verse,42
the-lion-king,21
evil-dead-rise,33
you-were-never-really-here,22
creep-2,22
spider-man,34
godzilla-kong-the-new-empire,20
to-all-the-boys-ive-loved-before,20
pearl-2022,38
elf,28
the-purge,23
the-greatest-showman,23
king-richard,20
alien-resurrection,20
x-men-apocalypse,23
aliens,27
everything-everywhere-all-at-once,42
the-first-omen,31
guardians-of-the-galaxy-vol-3,42
star-wars-episode-ii-attack-of-the-clones,25
zola,22
eternals,27
the-french-dispatch,22
the-creator-2023,22
we-live-in-time,33
corpse-bride,22
mulan,23
moonlight-2016,36
beetlejuice,38
fresh-2022,32
dune-part-two,51
uncharted-2022,24
beau-is-afraid,28
ready-or-not-2019,39
edward-scissorhands,22
the-big-short,22
jumanji-welcome-to-the-jungle,23
inglourious-basterds,31
barbie,54
iron-man-2,22
black-mirror-joan-is-awful,20
were-the-millers,22
in-the-mood-for-love,20
cocaine-bear,31
the-princess-and-the-frog,23
drive-away-dolls,25
lost-in-translation,28
the-descent,22
et-the-extra-terrestrial,21
easy-a,30
dont-worry-darling,36
elvis-2022,39
avengers-infinity-war,35
wonka,43
terrifier-2016,26
the-prestige,29
the-boogeyman,21
kingsman-the-golden-circle,20
malignant-2021,31
bones-and-all,34
civil-war-2024,40
zombieland,27
alien,33
parasite-2019,44
top-gun-maverick,33
the-swan-2023,22
palm-springs-2020,35
five-nights-at-freddys,33
revenge-2017,24
the-avengers-2012,26
argylle,26
knives-out-2019,44
dungeons-dragons-honor-among-thieves,26
black-christmas,26
spirited-away,29
emilia-perez,29
clueless,25
se7en,39
harry-potter-and-the-deathly-hallows-part-1,24
the-banshees-of-inisherin,41
blink-twice,29
mission-impossible-rogue-nation,22
its-a-wonderful-life,20
the-incredibles,23
manchester-by-the-sea,25
superbad,31
hot-fuzz,22
nosferatu-2024,48
conclave,43
the-truman-show,34
the-blair-witch-project,23
the-lord-of-the-rings-the-fellowship-of-the-ring,29
love-simon,21
my-old-ass,22
trainspotting,29
killers-of-the-flower-moon,40
the-godfather-part-ii,22
didi-2024,26
the-suicide-squad,32
spider-man-no-way-home,37
a-real-pain,42
john-wick-chapter-3-parabellum,27
dead-poets-society,31
the-flash,23
gladiator-ii,44
first-man,20
the-platform,20
nosferatu,23
challengers,55
the-twilight-saga-breaking-dawn-part-2,23
scott-pilgrim-vs-the-world,35
the-departed,25
rye-lane,22
searching-2018,22
guardians-of-the-galaxy-vol-2,32
the-apprentice-2024,26
goodfellas,32
longlegs,50
anatomy-of-a-fall,40
saving-private-ryan,20
cruella,25
ant-man-and-the-wasp,29
ant-man-and-the-wasp-quantumania,30
cuckoo-2024,27
catch-me-if-you-can-2002,22
get-out-2017,38
luca-2021,28
mission-impossible,22
star-wars-episode-i-the-phantom-menace,28
moana-2016,31
alien-covenant,24
the-exorcist,26
kill-bill-vol-2,24
aquaman-2018,24
interstellar,37
snowpiercer,24
the-lost-city-2022,20
home-alone,35
emma-2020,21
la-la-land,43
queer-2024,32
knock-at-the-cabin,32
spencer-2021,27
im-thinking-of-ending-things,23
the-watchers-2024,25
10-things-i-hate-about-you,36
iron-man-2008,25
ant-man,30
when-evil-lurks,20
the-game,22
the-super-mario-bros-movie,36
sing-sing-2023,25
turning-red,34
carrie-1976,31
coda-2021,22
avatar,24
an-american-werewolf-in-london,21
aladdin-2019,21
past-lives,41
under-the-silver-lake,21
walle,22
the-conjuring,30
heat-1995,26
ambulance-2022,20
black-panther-wakanda-forever,33
twin-peaks-fire-walk-with-me,20
up,26
avatar-the-way-of-water,29
the-thing,36
scarface-1983,21
red-white-royal-blue,20
black-widow-2021,28
godzilla-vs-kong,23
the-fall-guy-2024,35
fargo,30
justice-league,22
happiest-season,21
thanksgiving-2023,29
the-irishman-2019,24
night-at-the-museum,20
a-quiet-place-part-ii,33
alien-romulus,44
apocalypse-now,22
the-hunger-games,33
zootopia,20
fantastic-beasts-and-where-to-find-them,24
smile-2022,36
fear-street-1978,21
jojo-rabbit,29
nickel-boys,21
die-hard,30
avengers-endgame,38
kingdom-of-the-planet-of-the-apes,25
watcher,21
a-complete-unknown,23
mulholland-drive,28
dont-look-up-2021,32
the-grand-budapest-hotel,33
a-nightmare-on-elm-street,32
2001-a-space-odyssey,26
missing-2023,24
terrifier-2,23
my-neighbor-totoro,23
the-brutalist,25
blackkklansman,32
once-upon-a-time-in-hollywood,45
thor-love-and-thunder,33
the-hangover,25
totally-killer,27
the-silence-of-the-lambs,31
the-birds,22
rear-window,26
spider-man-into-the-spider-verse,36
scream-4,31
suspiria-2018,24
the-idea-of-you-2024,25
in-a-violent-nature,22
oceans-eight,21
22-jump-street,22
john-wick-chapter-4,31
the-favourite,34
the-lion-king-2019,23
the-nightmare-before-christmas,29
dazed-and-confused,23
the-batman,42
rogue-one-a-star-wars-story,28
x-men,21
cars,24
speak-no-evil-2024,26
drive-2011,30
the-menu-2022,50
one-flew-over-the-cuckoos-nest,24
the-devil-wears-prada,32
28-days-later,24
wolf-man-2025,22
perfect-blue,22
toy-story-3,28
the-perks-of-being-a-wallflower,30
blade-runner,22
childs-play,23
incredibles-2,25
tar-2022,31
encanto,27
okja,23
women-talking,21
joker-folie-a-deux,39
venom-let-there-be-carnage,27
legally-blonde,23
